episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
78,multi_level_coordinated_dqn,29,916.0013,0.137371,0.6764,378.8116,-0.7344,0.0464,1.4220,0.2083,0.5913,0.3872,36.86,32.37,30.77
79,multi_level_coordinated_dqn,29,855.2728,0.167040,0.6730,384.5562,-0.7682,0.0359,1.4177,0.2154,0.5990,0.3988,33.73,29.89,36.38
80,multi_level_coordinated_dqn,29,870.3308,0.153330,0.6696,384.0467,-0.7512,0.0337,1.4150,0.2156,0.6011,0.4012,33.25,32.45,34.29
1,multi_level_coordinated_dqn,29,1083.7690,23.904629,0.6663,105.5051,-0.0333,0.2985,1.6164,0.0379,0.2074,0.0205,25.87,33.51,40.62
2,multi_level_coordinated_dqn,29,1033.5214,19.414074,0.6630,246.0942,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,31.62,47.98,20.40
1,multi_level_coordinated_dqn,29,1034.4536,15.626657,0.6597,108.4606,-0.0262,0.3039,1.6239,0.0347,0.1904,0.0177,34.01,26.10,39.89
2,multi_level_coordinated_dqn,29,1374.3215,6.210916,0.6564,279.6130,-0.1697,0.2811,1.6065,0.0471,0.2337,0.0303,33.12,35.88,31.00
3,multi_level_coordinated_dqn,29,1034.8036,17.843424,0.6531,103.8843,-0.0256,0.3039,1.6239,0.0347,0.1904,0.0177,26.47,54.04,19.49
4,multi_level_coordinated_dqn,29,1032.8214,3.123527,0.6498,100.0220,-0.0268,0.3041,1.6213,0.0346,0.1897,0.0177,27.94,46.69,25.37
5,multi_level_coordinated_dqn,29,1025.5643,7.970527,0.6466,98.4364,-0.0364,0.3015,1.6202,0.0362,0.2008,0.0182,52.39,27.76,19.85
6,multi_level_coordinated_dqn,29,1032.2660,36.011642,0.6433,96.8640,-0.0269,0.3038,1.6207,0.0348,0.1913,0.0177,35.29,32.17,32.54
7,multi_level_coordinated_dqn,29,1026.7187,30.882782,0.6401,96.6042,-0.0369,0.3023,1.6219,0.0356,0.1957,0.0179,37.32,31.99,30.70
8,multi_level_coordinated_dqn,29,1040.8322,4.815938,0.6369,102.2963,-0.0908,0.2914,1.6064,0.0424,0.2303,0.0213,48.26,23.96,27.78
9,multi_level_coordinated_dqn,29,1025.4650,18.284201,0.6337,95.4277,-0.0363,0.3025,1.6189,0.0356,0.1961,0.0179,44.85,21.32,33.82
10,multi_level_coordinated_dqn,29,1032.8094,16.916977,0.6306,95.2666,-0.0264,0.3029,1.6220,0.0353,0.1958,0.0179,34.56,30.15,35.29
11,multi_level_coordinated_dqn,29,1007.7009,8.112845,0.6274,96.4845,-0.0559,0.2950,1.6133,0.0400,0.2189,0.0208,48.53,17.83,33.64
12,multi_level_coordinated_dqn,29,1029.9610,18.153666,0.6243,94.8784,-0.0277,0.3025,1.6186,0.0355,0.1973,0.0181,25.37,29.04,45.59
13,multi_level_coordinated_dqn,29,1255.2464,8.682200,0.6211,117.2812,-0.0344,0.3115,1.6365,0.0286,0.1588,0.0162,28.05,30.18,41.77
14,multi_level_coordinated_dqn,29,1082.9140,30.805019,0.6180,101.7648,-0.0340,0.2982,1.6159,0.0380,0.2090,0.0203,39.93,42.53,17.53
15,multi_level_coordinated_dqn,29,1016.3222,2.626137,0.6149,95.9340,-0.0456,0.2983,1.6156,0.0384,0.2128,0.0193,33.46,29.60,36.95
16,multi_level_coordinated_dqn,29,1185.2685,5.961555,0.6119,115.9485,-0.0604,0.3004,1.6120,0.0361,0.1976,0.0216,30.31,30.31,39.38
17,multi_level_coordinated_dqn,29,1033.9926,15.284635,0.6088,96.2944,-0.0257,0.3035,1.6229,0.0350,0.1932,0.0178,23.16,36.58,40.26
18,multi_level_coordinated_dqn,29,990.5089,18.582575,0.6058,97.5559,-0.0773,0.2922,1.6058,0.0423,0.2310,0.0218,43.57,23.90,32.54
19,multi_level_coordinated_dqn,29,1034.3015,13.392478,0.6027,96.9111,-0.0256,0.3037,1.6232,0.0349,0.1923,0.0178,23.71,22.06,54.23
20,multi_level_coordinated_dqn,29,1025.1139,6.599051,0.5997,96.5373,-0.0357,0.3019,1.6181,0.0359,0.1981,0.0180,22.24,43.57,34.19
21,multi_level_coordinated_dqn,29,1217.2956,17.053289,0.5967,118.6016,-0.0611,0.2990,1.6178,0.0369,0.2010,0.0225,12.96,48.02,39.02
22,multi_level_coordinated_dqn,29,1034.1337,9.901646,0.5937,97.3884,-0.0269,0.3040,1.6239,0.0347,0.1906,0.0177,25.92,36.03,38.05
23,multi_level_coordinated_dqn,29,1032.8214,6.753605,0.5908,96.9567,-0.0268,0.3041,1.6213,0.0346,0.1897,0.0177,29.60,35.48,34.93
24,multi_level_coordinated_dqn,29,1033.0914,11.253209,0.5878,96.0720,-0.0264,0.3030,1.6224,0.0352,0.1945,0.0179,42.46,28.86,28.68
25,multi_level_coordinated_dqn,29,1033.7162,8.326309,0.5849,98.7127,-0.0257,0.3031,1.6228,0.0351,0.1933,0.0179,22.24,37.68,40.07
