episode,controller_type,state_dim,reward,policy_loss,value_loss,entropy,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
47,multi_level_coordinated_ppo,29,939.8478,-0.004015,0.000020,0.968567,743.1593,-0.7202,0.0498,1.4235,0.2055,0.5862,0.3872,16.03,39.02,44.95
48,multi_level_coordinated_ppo,29,928.5303,-0.001615,0.000019,0.949840,4672.0157,-0.7208,0.0508,1.4236,0.2047,0.5853,0.3808,12.82,34.66,52.52
49,multi_level_coordinated_ppo,29,935.6080,-0.003047,0.000021,0.904764,984.3757,-0.7404,0.0437,1.4186,0.2101,0.5950,0.4051,11.03,37.42,51.54
50,multi_level_coordinated_ppo,29,935.8854,-0.005212,0.000018,0.810894,30084.9860,-0.7228,0.0494,1.4234,0.2058,0.5870,0.3870,10.10,27.80,62.10
51,multi_level_coordinated_ppo,29,933.6678,-0.003110,0.000034,0.803518,288.2599,-0.7326,0.0437,1.4184,0.2090,0.5905,0.3975,8.05,25.39,66.56
52,multi_level_coordinated_ppo,29,942.7250,-0.002430,0.000021,0.799552,292.9123,-0.7182,0.0500,1.4236,0.2054,0.5856,0.3868,9.05,20.91,70.03
53,multi_level_coordinated_ppo,29,957.8131,-0.003988,0.000107,0.738412,324.2977,-0.7557,0.0419,1.4181,0.2116,0.5954,0.4161,7.35,24.41,68.24
54,multi_level_coordinated_ppo,29,954.7890,0.000029,0.000050,0.680848,348.4797,-0.7139,0.0525,1.4265,0.2040,0.5833,0.3824,5.77,20.91,73.32
55,multi_level_coordinated_ppo,29,941.1121,-0.005640,0.000045,0.794686,277.4010,-0.7194,0.0496,1.4238,0.2057,0.5861,0.3870,6.17,21.71,72.12
56,multi_level_coordinated_ppo,29,923.9200,-0.003993,0.000034,0.853248,259.3497,-0.7055,0.0569,1.4289,0.2002,0.5783,0.3621,9.54,24.49,65.96
57,multi_level_coordinated_ppo,29,940.8559,-0.004013,0.000027,0.848041,274.4819,-0.7195,0.0498,1.4236,0.2055,0.5861,0.3872,9.78,32.53,57.69
58,multi_level_coordinated_ppo,29,974.7059,-0.001892,0.000063,0.794004,315.0701,-0.7536,0.0321,1.4138,0.2180,0.6004,0.4384,9.16,26.63,64.20
59,multi_level_coordinated_ppo,29,922.3418,-0.001758,0.000044,0.744921,253.9227,-0.6997,0.0592,1.4303,0.1985,0.5754,0.3559,7.71,24.14,68.15
60,multi_level_coordinated_ppo,29,1016.7864,-0.000953,0.000052,0.653993,286.4960,-0.7065,0.0546,1.4269,0.2023,0.5787,0.3920,5.26,20.20,74.54
61,multi_level_coordinated_ppo,29,923.9472,-0.002774,0.000101,0.661703,281.5670,-0.7429,0.0498,1.4241,0.2062,0.5873,0.3857,6.01,16.69,77.29
62,multi_level_coordinated_ppo,29,938.3773,-0.000763,0.000068,0.641693,2213.2966,-0.7409,0.0399,1.4163,0.2120,0.5949,0.4081,5.18,19.59,75.23
63,multi_level_coordinated_ppo,29,916.0266,-0.001377,0.000040,0.651114,1082.8255,-0.7563,0.0394,1.4151,0.2130,0.6010,0.4133,6.55,19.51,73.93
64,multi_level_coordinated_ppo,29,940.8423,-0.001456,0.000024,0.688025,995.9052,-0.7089,0.0550,1.4276,0.2020,0.5797,0.3711,5.02,18.67,76.32
65,multi_level_coordinated_ppo,29,994.0164,-0.000723,0.000113,0.669336,1092.5434,-0.7046,0.0550,1.4262,0.2009,0.5745,0.3805,5.08,19.06,75.86
66,multi_level_coordinated_ppo,29,954.0927,-0.003714,0.000040,0.602059,1008.8455,-0.7012,0.0568,1.4290,0.2007,0.5764,0.3694,4.69,20.15,75.16
67,multi_level_coordinated_ppo,29,938.3633,-0.000881,0.000037,0.575811,1034.9513,-0.7218,0.0511,1.4227,0.2045,0.5844,0.3795,5.21,16.75,78.04
68,multi_level_coordinated_ppo,29,907.8486,-0.003579,0.000057,0.516624,1009.0494,-0.8087,0.0077,1.3982,0.2361,0.6256,0.4994,5.53,13.29,81.18
69,multi_level_coordinated_ppo,29,934.2415,0.000464,0.000052,0.465719,669.7318,-0.7410,0.0433,1.4185,0.2103,0.5948,0.4055,4.24,10.88,84.88
70,multi_level_coordinated_ppo,29,920.4006,0.000169,0.000030,0.509887,629.9562,-0.7013,0.0588,1.4306,0.1987,0.5758,0.3571,5.31,8.56,86.13
71,multi_level_coordinated_ppo,29,942.2240,-0.001274,0.000086,0.428106,746.7461,-0.7395,0.0504,1.4253,0.2058,0.5852,0.3872,4.92,7.81,87.27
72,multi_level_coordinated_ppo,29,928.2302,-0.002898,0.000047,0.482170,1173.8904,-0.7408,0.0503,1.4249,0.2058,0.5871,0.3858,3.88,9.41,86.71
73,multi_level_coordinated_ppo,29,872.6603,-0.001237,0.000099,0.505486,1117.1143,-0.7848,0.0374,1.4125,0.2148,0.6039,0.4104,3.20,11.20,85.59
74,multi_level_coordinated_ppo,29,889.8521,-0.001572,0.000047,0.522002,1095.9885,-0.7702,0.0406,1.4162,0.2122,0.5993,0.4040,3.01,11.11,85.88
75,multi_level_coordinated_ppo,29,1011.9943,-0.000316,0.000109,0.512993,1098.4730,-0.7515,0.0344,1.4121,0.2167,0.5995,0.4463,3.37,12.84,83.79
76,multi_level_coordinated_ppo,29,973.6639,-0.002218,0.000048,0.596545,755.1151,-0.7038,0.0553,1.4287,0.2017,0.5778,0.3775,3.69,15.79,80.53
1,multi_level_coordinated_ppo,29,868.1606,-0.001776,0.001536,1.093057,549.1699,-0.7547,0.0377,1.4127,0.2172,0.6078,0.3992,33.41,35.10,31.49
2,multi_level_coordinated_ppo,29,845.6112,-0.002137,0.000958,1.064635,1072.8172,-0.7611,0.0359,1.4115,0.2183,0.6093,0.3976,37.99,33.12,28.90
3,multi_level_coordinated_ppo,29,947.3592,-0.002026,0.000629,1.023698,1132.7074,-0.7005,0.0588,1.4312,0.1992,0.5748,0.3641,45.58,29.00,25.42
4,multi_level_coordinated_ppo,29,977.4832,-0.001860,0.000390,0.992908,851.0802,-0.6880,0.0546,1.4372,0.1976,0.5566,0.3180,55.35,22.62,22.04
5,multi_level_coordinated_ppo,29,1105.9112,-0.003029,0.000645,0.929322,1018.6443,-0.6699,0.0554,1.4473,0.1959,0.5378,0.3160,59.41,22.21,18.37
