episode,reward,policy_loss,value_loss,entropy,runtime_seconds
147,-293.3650,-0.001508,0.021442,0.430992,8.2607
148,-322.4259,-0.001568,0.022659,0.366753,8.5016
149,-291.2808,-0.001362,0.023139,0.317002,8.5991
150,-291.7469,-0.009213,0.021051,0.249897,8.4702
151,-293.9931,0.003900,0.019278,0.182828,8.7122
152,-293.9931,-0.004743,0.018692,0.203547,10.5654
153,-293.9931,0.001501,0.018013,0.262300,8.1352
154,-293.0680,-0.000111,0.017771,0.282780,8.9504
155,-293.9931,0.000327,0.017367,0.267167,8.5392
156,-293.0563,-0.006890,0.016799,0.273449,8.1221
157,-293.9931,0.001148,0.016693,0.332473,8.4523
158,-293.9931,0.000447,0.016397,0.366119,8.8813
159,-301.0339,-0.002718,0.016051,0.381231,7.9768
160,-292.1312,0.001600,0.016173,0.434345,8.0631
161,-303.1264,-0.000776,0.016100,0.461433,8.3639
162,-301.5014,-0.001301,0.016268,0.496150,8.7976
163,-293.0680,0.000866,0.016116,0.531168,12.2278
164,-325.5987,0.000538,0.023031,0.513117,12.0941
165,-293.3650,-0.000136,0.018854,0.516757,11.7212
166,-292.4577,-0.000115,0.015807,0.526435,12.9165
167,-289.0029,0.000095,0.015321,0.538761,12.5466
168,-289.2339,-0.000089,0.014750,0.535734,12.6181
169,-327.0430,-0.001181,0.023211,0.536931,14.1506
170,-317.9307,-0.002253,0.025724,0.494592,14.3958
171,-293.3650,-0.002087,0.017677,0.441369,13.3094
172,-274.5208,0.000289,0.020755,0.407799,12.6744
173,-293.3828,0.000826,0.012919,0.380642,12.2041
174,-293.9931,-0.005061,0.012525,0.412995,9.2567
175,-293.9931,-0.007668,0.012245,0.491776,8.2509
176,-290.4065,-0.004026,0.014011,0.575991,11.5997
177,-293.0680,-0.001367,0.011899,0.638040,10.2309
178,-274.5208,-0.001200,0.018816,0.676383,8.3463
179,-311.4494,-0.000346,0.018368,0.688317,8.9248
180,-300.8511,0.000439,0.012443,0.698336,8.5843
181,-284.2459,-0.000714,0.016050,0.688747,9.2515
182,-316.3871,-0.000840,0.022907,0.671306,9.0976
183,-292.1312,0.000490,0.012959,0.661585,7.7224
184,-300.2727,-0.003965,0.012682,0.678057,8.8719
185,-291.2568,-0.001080,0.012264,0.702482,8.6050
186,-330.4525,0.000282,0.020538,0.714751,8.9533
187,-319.4140,-0.001505,0.033278,0.718984,9.1882
188,-329.2805,0.000552,0.021297,0.723638,9.2985
189,-298.3913,0.000076,0.027750,0.727775,8.9123
190,-330.8758,-0.000502,0.018424,0.725613,9.3050
191,-298.3908,-0.000217,0.019280,0.721669,8.7010
192,-318.7653,-0.001037,0.022912,0.717602,8.8050
193,-309.2004,-0.000849,0.024814,0.721663,8.7777
194,-291.2808,-0.001128,0.017413,0.721912,8.5719
195,-301.6491,-0.000369,0.015399,0.712936,8.7109
196,-292.6848,-0.000175,0.013958,0.704855,8.4199
197,-297.7093,-0.003872,0.011341,0.691754,8.5297
198,-292.6442,0.001607,0.010877,0.662685,8.6470
199,-301.0307,0.000162,0.010207,0.648299,8.5300
200,-288.1231,-0.000374,0.031671,0.648284,8.5494
