episode,total_reward,steps,epsilon,loss_last
263,-1129.5000,45,0.2676,2083.679199
264,-1124.0000,45,0.2663,2335.240479
265,-1167.0000,46,0.2649,4576.460449
266,-1134.0000,45,0.2636,11514.091797
267,-1104.5000,45,0.2623,4542.816895
268,-1140.5000,45,0.2610,4683.100098
269,-1135.5000,45,0.2597,3278.447998
270,-1150.0000,46,0.2584,5190.653320
271,-1110.5000,45,0.2571,5369.360840
272,-1096.5000,45,0.2558,5317.064941
273,-1364.5000,53,0.2545,7185.304199
274,-1137.0000,45,0.2532,11395.831055
275,-1141.5000,45,0.2520,12492.398438
276,-1345.0000,54,0.2507,5487.373047
277,-1128.0000,45,0.2495,10794.498047
278,-1255.5000,45,0.2482,3428.701172
279,-1108.0000,45,0.2470,4756.006836
280,-1097.5000,45,0.2457,5574.940430
281,-1119.5000,45,0.2445,4077.087646
282,-1184.5000,45,0.2433,1117.446411
283,-1114.5000,45,0.2421,1527.778442
284,-1139.5000,45,0.2409,8153.553711
285,-1112.0000,47,0.2397,4497.306152
286,-1139.5000,45,0.2385,2164.663818
287,-1144.5000,45,0.2373,1537.439697
288,-1271.5000,46,0.2361,13696.856445
289,-1070.0000,45,0.2349,11917.470703
290,-1128.0000,45,0.2337,6372.122070
291,-1120.0000,45,0.2326,4235.852539
292,-1159.5000,46,0.2314,5358.145020
293,-1427.0000,52,0.2302,7469.608887
294,-1264.0000,51,0.2291,3928.552246
295,-1346.5000,45,0.2279,2662.944092
296,-1231.0000,46,0.2268,7687.449219
297,-1103.0000,45,0.2257,6536.943848
298,-1290.5000,45,0.2245,13438.251953
299,-1134.0000,46,0.2234,5969.859375
300,-1266.0000,47,0.2223,3934.135254
301,-1176.0000,47,0.2212,4627.845215
302,-1129.0000,45,0.2201,4053.195557
303,-1141.5000,45,0.2190,4823.840332
304,-1126.5000,45,0.2179,8276.374023
305,-1151.0000,45,0.2168,8821.320312
306,-1141.0000,45,0.2157,7195.737305
307,-1124.0000,45,0.2146,4219.671875
308,-1150.0000,45,0.2136,9143.918945
309,-1267.0000,46,0.2125,3822.805420
310,-1126.0000,45,0.2114,1652.589233
311,-1133.5000,45,0.2104,1212.609741
312,-1189.0000,45,0.2093,2081.228516
313,-1131.0000,45,0.2083,7583.676270
314,-1105.5000,45,0.2072,4250.549316
315,-1120.5000,45,0.2062,4537.813965
316,-1154.0000,46,0.2052,3035.635010
317,-1185.5000,45,0.2041,1617.994507
318,-1183.0000,45,0.2031,7367.044922
319,-1236.5000,46,0.2021,11200.909180
320,-1132.5000,45,0.2011,5939.171875
321,-1133.0000,45,0.2001,1160.571533
322,-1116.0000,46,0.1991,4044.744629
323,-1088.0000,45,0.1981,6265.314941
324,-1100.0000,45,0.1971,5831.948242
325,-1125.5000,45,0.1961,4140.328613
326,-1124.0000,46,0.1951,7316.476074
327,-1091.5000,45,0.1942,6735.697754
328,-1103.5000,45,0.1932,6922.530273
329,-1249.0000,45,0.1922,1484.088867
330,-1319.0000,45,0.1913,4605.744629
331,-1124.0000,45,0.1903,4564.814453
332,-1094.0000,45,0.1893,3799.340332
333,-1131.0000,45,0.1884,3944.789062
334,-1144.5000,45,0.1875,5239.793945
335,-1113.0000,45,0.1865,5582.215820
336,-1141.5000,45,0.1856,2519.327148
337,-1133.0000,46,0.1847,6980.184570
338,-1100.5000,45,0.1837,1435.439209
339,-1136.5000,45,0.1828,7276.152832
340,-1140.0000,45,0.1819,6601.399902
341,-1195.5000,45,0.1810,10640.189453
342,-1141.5000,45,0.1801,2433.568604
343,-1063.0000,45,0.1792,3748.847656
344,-1296.0000,45,0.1783,5644.719238
345,-1280.5000,53,0.1774,3153.135498
346,-1141.5000,45,0.1765,3348.726562
347,-1141.0000,45,0.1756,4425.273438
348,-1182.0000,47,0.1748,7739.871094
349,-1260.5000,45,0.1739,6738.059082
350,-1099.0000,45,0.1730,4323.337402
351,-1112.5000,45,0.1721,4476.880859
352,-1245.5000,52,0.1713,5894.267090
353,-1124.0000,45,0.1704,3667.834229
354,-1119.5000,45,0.1696,15998.971680
355,-1084.0000,45,0.1687,4094.070801
356,-1111.0000,45,0.1679,5491.575195
357,-1265.0000,49,0.1670,4921.546875
358,-1343.5000,54,0.1662,2966.959961
359,-1349.5000,45,0.1654,2261.454590
360,-1144.0000,45,0.1646,4010.296387
361,-1138.0000,45,0.1637,1985.160156
362,-1135.0000,45,0.1629,13761.616211
363,-1102.5000,45,0.1621,9680.925781
364,-1114.0000,45,0.1613,6576.221680
365,-1098.0000,45,0.1605,6575.781250
366,-1113.5000,45,0.1597,9453.702148
367,-1131.5000,46,0.1589,1345.172363
368,-1144.0000,46,0.1581,7572.789551
369,-1066.0000,45,0.1573,3336.197754
370,-1098.5000,45,0.1565,4202.582031
371,-1165.5000,45,0.1557,5412.500977
372,-1137.0000,46,0.1549,7346.673828
373,-1138.5000,46,0.1542,7221.950684
374,-1154.0000,46,0.1534,3440.896729
375,-1149.0000,46,0.1526,4345.055664
376,-1154.0000,45,0.1519,5696.796875
377,-1111.5000,45,0.1511,10622.404297
378,-1103.0000,45,0.1504,5690.366211
379,-1117.5000,46,0.1496,3713.241699
380,-1121.5000,46,0.1489,3815.287354
381,-1097.0000,45,0.1481,6171.316406
382,-1093.0000,46,0.1474,4577.666016
383,-1150.5000,46,0.1466,2778.187500
384,-1095.0000,45,0.1459,2700.300293
385,-1350.5000,45,0.1452,7360.955078
386,-1123.0000,45,0.1444,3487.571289
387,-1146.0000,46,0.1437,9504.675781
388,-1081.0000,45,0.1430,3858.882568
389,-1183.5000,45,0.1423,5000.839844
390,-1101.0000,45,0.1416,8338.745117
391,-1089.0000,46,0.1409,2249.997314
392,-1073.5000,45,0.1402,3830.164551
393,-1127.0000,45,0.1395,4792.598145
394,-1141.0000,45,0.1388,7540.041016
395,-1118.5000,45,0.1381,3555.737061
396,-1093.0000,45,0.1374,9160.012695
397,-1115.0000,45,0.1367,5753.141113
398,-1114.5000,45,0.1360,5389.936523
399,-1106.5000,45,0.1353,5027.869629
400,-1132.5000,45,0.1347,8633.122070
401,-1105.0000,45,0.1340,9029.937500
402,-1113.5000,45,0.1333,7749.668945
403,-1076.0000,45,0.1326,7501.595215
404,-1141.0000,45,0.1320,5168.008301
405,-1101.5000,45,0.1313,6848.878906
406,-1095.5000,45,0.1307,3393.625488
407,-1139.5000,45,0.1300,7011.695312
408,-1141.5000,45,0.1294,5298.909180
409,-1098.0000,45,0.1287,4786.899902
410,-1109.0000,45,0.1281,4697.086914
411,-1092.5000,45,0.1274,4427.838379
412,-1066.5000,45,0.1268,4067.958008
413,-1140.0000,45,0.1262,6054.573242
414,-1081.0000,45,0.1255,5562.896484
415,-1083.0000,45,0.1249,6775.055176
416,-1094.5000,45,0.1243,3591.803223
417,-1064.5000,45,0.1237,3169.593506
418,-1147.0000,45,0.1230,3896.799805
419,-1182.5000,45,0.1224,8891.312500
420,-1184.5000,45,0.1218,6799.533691
421,-1127.0000,45,0.1212,6950.944824
