episode,reward,policy_loss,value_loss,entropy,runtime_seconds
149,-892.2892,-0.000642,0.000157,0.173947,686.8086
150,-892.2892,-0.000069,0.000143,0.153647,679.4520
151,-892.2892,-0.000471,0.000162,0.175534,614.3833
152,-892.2892,-0.001368,0.000165,0.197005,504.0283
153,-892.2892,-0.000285,0.000158,0.210586,357.3734
154,-891.3216,0.000034,0.000157,0.220200,332.1732
155,-892.2892,-0.000365,0.000148,0.185804,342.7233
156,-892.2892,-0.000480,0.000148,0.151487,357.1920
157,-892.2892,-0.001285,0.000162,0.120908,349.8565
158,-892.2892,-0.000218,0.000170,0.137281,355.9799
159,-892.2892,0.000131,0.000149,0.142819,361.4900
160,-892.2892,0.000020,0.000159,0.151465,342.9266
161,-892.2892,-0.000367,0.000140,0.126809,351.5259
162,-892.2892,-0.000074,0.000139,0.137307,359.3586
163,-891.3216,-0.000793,0.000153,0.137919,358.1288
164,-892.2892,-0.000281,0.000150,0.124936,493.2995
165,-892.2892,-0.000237,0.000158,0.116087,618.0845
166,-892.2892,-0.000289,0.000145,0.094608,537.9792
167,-892.2892,-0.000418,0.000131,0.085012,532.1325
