episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
47,multi_level_coordinated_dqn,29,12296.7136,0.303706,0.7901,567.2730,-1.0702,-0.0241,1.3183,0.2529,0.8864,1.1436,33.13,32.80,34.06
48,multi_level_coordinated_dqn,29,12670.0959,0.311429,0.7862,565.7047,-1.0699,-0.0202,1.3219,0.2501,0.8790,1.1127,35.87,33.28,30.86
49,multi_level_coordinated_dqn,29,13183.7726,12.045661,0.7822,539.1051,-1.0660,-0.0097,1.3258,0.2416,0.8739,0.9882,35.52,32.41,32.07
50,multi_level_coordinated_dqn,29,12520.6003,1.232626,0.7783,609.3276,-1.0730,-0.0317,1.3190,0.2583,0.8766,1.1383,32.40,33.20,34.40
51,multi_level_coordinated_dqn,29,13172.3813,0.503959,0.7744,526.1746,-1.0661,-0.0106,1.3265,0.2419,0.8723,0.9615,36.02,33.71,30.27
52,multi_level_coordinated_dqn,29,12781.2506,0.952540,0.7705,530.0030,-1.0659,-0.0134,1.3218,0.2449,0.8829,1.0594,31.85,30.79,37.36
53,multi_level_coordinated_dqn,29,12647.3359,0.510705,0.7667,530.2325,-1.0670,-0.0147,1.3215,0.2452,0.8829,1.0839,32.21,36.14,31.66
54,multi_level_coordinated_dqn,29,12640.1219,4.198708,0.7629,604.3136,-1.0719,-0.0299,1.3197,0.2571,0.8759,1.1109,32.53,35.14,32.34
55,multi_level_coordinated_dqn,29,12518.1893,0.290192,0.7590,550.8562,-1.0706,-0.0209,1.3213,0.2500,0.8807,1.1001,36.95,28.91,34.13
56,multi_level_coordinated_dqn,29,13506.9087,0.435030,0.7553,590.8917,-1.0719,-0.0213,1.3284,0.2499,0.8594,0.9938,37.59,29.64,32.77
57,multi_level_coordinated_dqn,29,12568.3497,0.242743,0.7515,594.5339,-1.0722,-0.0289,1.3192,0.2568,0.8771,1.1177,34.36,31.98,33.65
58,multi_level_coordinated_dqn,29,12525.8719,0.854983,0.7477,585.0479,-1.0720,-0.0267,1.3197,0.2543,0.8795,1.1334,35.09,31.28,33.63
59,multi_level_coordinated_dqn,29,12452.3394,8.566611,0.7440,534.0443,-1.0685,-0.0156,1.3203,0.2464,0.8855,1.0730,36.40,31.49,32.11
60,multi_level_coordinated_dqn,29,12705.5814,0.346928,0.7403,590.3386,-1.0717,-0.0271,1.3223,0.2533,0.8736,1.1153,35.82,29.57,34.61
61,multi_level_coordinated_dqn,29,12628.0210,0.317240,0.7366,604.2683,-1.0744,-0.0300,1.3214,0.2565,0.8724,1.0728,38.19,30.31,31.50
62,multi_level_coordinated_dqn,29,12499.2571,1.502333,0.7329,563.8919,-1.0693,-0.0216,1.3195,0.2510,0.8845,1.1189,35.17,29.66,35.16
63,multi_level_coordinated_dqn,29,12839.7380,0.423216,0.7292,626.6286,-1.0748,-0.0295,1.3228,0.2559,0.8676,1.0466,36.38,30.82,32.80
64,multi_level_coordinated_dqn,29,12419.6697,0.619609,0.7256,627.4136,-1.0740,-0.0344,1.3189,0.2592,0.8750,1.1401,34.60,31.48,33.92
65,multi_level_coordinated_dqn,29,12440.3882,0.376552,0.7219,620.9098,-1.0737,-0.0345,1.3183,0.2600,0.8760,1.1613,32.24,33.77,33.99
66,multi_level_coordinated_dqn,29,12530.2255,0.377924,0.7183,537.0510,-1.0670,-0.0160,1.3207,0.2458,0.8845,1.0864,31.03,32.21,36.77
67,multi_level_coordinated_dqn,29,13922.1392,0.717267,0.7147,529.5482,-1.0617,-0.0055,1.3313,0.2382,0.8626,0.9661,33.97,33.62,32.41
68,multi_level_coordinated_dqn,29,12549.1911,0.465103,0.7112,581.1771,-1.0720,-0.0279,1.3207,0.2541,0.8768,1.1298,35.46,31.64,32.91
69,multi_level_coordinated_dqn,29,13745.4932,0.772291,0.7076,525.6419,-1.0657,-0.0056,1.3320,0.2380,0.8616,0.9166,36.79,30.24,32.97
70,multi_level_coordinated_dqn,29,12705.0864,1.172798,0.7041,591.3233,-1.0723,-0.0276,1.3211,0.2551,0.8743,1.1104,31.39,35.88,32.74
71,multi_level_coordinated_dqn,29,12845.0993,1.788054,0.7005,587.5043,-1.0718,-0.0259,1.3221,0.2542,0.8725,1.1094,34.82,32.36,32.82
72,multi_level_coordinated_dqn,29,12755.1038,0.535237,0.6970,603.0262,-1.0726,-0.0308,1.3218,0.2572,0.8697,1.1213,34.40,29.26,36.34
73,multi_level_coordinated_dqn,29,13007.3393,1.291078,0.6936,589.9216,-1.0710,-0.0259,1.3242,0.2537,0.8680,1.0674,34.44,30.35,35.21
74,multi_level_coordinated_dqn,29,12821.2134,2.534822,0.6901,600.9713,-1.0723,-0.0258,1.3221,0.2534,0.8721,1.1048,36.32,30.95,32.73
75,multi_level_coordinated_dqn,29,12822.9437,4.412792,0.6866,671.8879,-1.0736,-0.0303,1.3234,0.2551,0.8677,1.0805,34.07,30.16,35.77
76,multi_level_coordinated_dqn,29,12845.9071,0.524212,0.6832,601.0842,-1.0723,-0.0283,1.3213,0.2555,0.8724,1.1131,33.72,27.13,39.15
77,multi_level_coordinated_dqn,29,12656.0950,0.977425,0.6798,638.8493,-1.0778,-0.0351,1.3212,0.2614,0.8664,1.1196,38.74,26.30,34.96
78,multi_level_coordinated_dqn,29,13627.1884,0.317878,0.6764,577.0901,-1.0710,-0.0179,1.3303,0.2475,0.8573,0.9304,37.26,26.57,36.17
79,multi_level_coordinated_dqn,29,14037.3014,0.744776,0.6730,587.7293,-1.0746,-0.0146,1.3345,0.2449,0.8477,0.8642,43.84,26.39,29.77
80,multi_level_coordinated_dqn,29,12606.5678,0.841243,0.6696,1609.6327,-1.0763,-0.0352,1.3209,0.2603,0.8679,1.0954,35.56,31.33,33.11
